	cancer_type	ms	GDSC.msi.call	CCLE.MSI.call	total_mut	indel	C_A	C_T	C_G	T_A	T_C	T_G	MLH1	MSH2	MSH6	PMS2	MLH1_exp	MSH2_exp	MSH6_exp	PMS2_exp	MSH2_1_methy	MSH2_2_methy	MSH6_1_methy	MSH6_2_methy	MSH6_3_methy	MSH6_4_methy	MLH1_methy	PMS2_1_methy	PMS2_2_methy	MSH6_pro	PMS2_pro	MLH1_pro	MSH2_pro	MLH1_exp_z	PMS2_exp_z	MSH2_exp_z	MSH6_exp_z	sigA	sigB	muts
ACH-000907	Kidney Cancer	MSI	NA	inferred-MSI	1079	219	0.122335496	0.509731233	0.040778499	0.050973123	0.232622799	0.043558851	Frame_Shift_Del	NA	NA	NA	4.107687869	3.890446693	4.815063017	2.908812908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.291280464	-1.299211641	-0.663370077	0.06241794	0.601235125	0.398764875	0
ACH-000908	Gastric Cancer	MSI	NA	inferred-MSI	1432	366	0.085893855	0.600558659	0.027234637	0.024441341	0.226955307	0.034916201	NA	NA	Frame_Shift_Del	NA	0.40053793	4.589763487	3.6622055	4.532940288	0.875	0.00049	0.00698	0.02603	0.78375	0.20043	0.96238	0.00506	0.2857	NA	NA	NA	NA	-1.363948599	1.23259928	-0.088574873	-0.878105786	0.685209901	0.314790099	Double
ACH-000909	Endometrial/Uterine Cancer	MSI	NA	inferred-MSI	1116	228	0.112007168	0.577060932	0.047491039	0.032258065	0.200716846	0.03046595	NA	NA	Missense_Mutation	NA	0.35614381	5.905687849	5.811214118	3.753818443	1	0.00769	0.93942	0.00641	0.14998	0.94005	0.86364	0.00408	NA	0.410161306	-1.755816905	-2.240442404	0.307960721	-1.383770413	0.018046025	0.99303366	0.875097505	0.679365774	0.320634226	0
ACH-000911	Gastric Cancer	MSI-high	MSI-H	inferred-MSI	1431	242	0.179594689	0.592592593	0.037735849	0.046121593	0.110412299	0.033542977	NA	NA	NA	NA	0.111031312	5.139551352	5.321567376	3.498250868	1	0.00344	0.08616	0.0262	0.68183	0.63193	0.81875	0.00294	NA	0.566907576	-1.877260813	-2.211088945	0.471641257	-1.493212258	-0.380351777	0.363316789	0.47563411	0.788515629	0.211484371	0
ACH-000914	Lymphoma	MSI-high	MSI-H	inferred-MSI	2116	220	0.038752363	0.163988658	0.02268431	0.049621928	0.573724008	0.151228733	NA	In_Frame_Del	Missense_Mutation	NA	5.956289027	5.191009849	6.555816155	3.956985925	1	0.04721	0.05727	0.06176	0.99138	0.67252	0.0068	0.01969	0	NA	NA	NA	NA	1.116674207	0.334758652	0.405612494	1.48255842	0.062707652	0.937292348	0
ACH-000919	Gastric Cancer	MSI-low	MSS/MSI-L	inferred-MSI	1901	518	0.092056812	0.561809574	0.03419253	0.037874803	0.237243556	0.036822725	NA	NA	NA	NA	0.214124805	4.582556003	4.534186139	3.805292456	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.317436261	-2.770596651	-2.882678574	-1.414624796	-1.447181386	0.098287556	-0.09449898	-0.166726914	0.637319399	0.362680601	0
ACH-000920	Leukemia	MSI-low	MSS/MSI-L	inferred-MSI	2977	376	0.099093047	0.649311387	0.020826335	0.026536782	0.187101108	0.01713134	NA	NA	NA	Missense_Mutation	5.440620048	0.250961574	5.193771743	3.956985925	NA	NA	0.98226	0.07842	0.98596	0.98416	0	0.07346	NA	NA	NA	NA	NA	0.88642987	0.334758652	-3.654802015	0.371375931	0.743402388	0.256597612	0
ACH-000925	Lung Cancer	MSI	NA	inferred-MSI	1477	488	0.117806364	0.613405552	0.030467163	0.030467163	0.178740691	0.029113067	NA	NA	NA	NA	0.575312331	5.096767855	4.785027362	3.758089934	NA	0.0095	0.33243	0.01792	0.1683	0.34169	0.82551	0.00893	NA	-0.088376036	-3.641722755	-2.10635824	-0.302518939	-1.28591246	0.024704744	0.328151397	0.037914265	0.738064831	0.261935169	0
ACH-000990	Endometrial/Uterine Cancer	MSI	NA	inferred-MSI	11964	1014	0.058090939	0.439568706	0.012788365	0.036693414	0.439568706	0.01328987	NA	Frame_Shift_Del;Missense_Mutation;Nonsense_Mutation	Missense_Mutation	NA	4.137503524	3.147306699	4.612942196	4.44625623	1	0.01736	0.97642	0.03667	0.98263	0.96721	0.00752	0.0081	NA	-1.504424011	0.358631078	0.470490098	-2.316426843	0.304593046	1.097469703	-1.274185245	-0.102476181	0.376024771	0.623975229	1
ACH-000930	Breast Cancer	MSI-high	MSI-H	inferred-MSI	2668	263	0.056596702	0.273238381	0.029610195	0.049475262	0.553973013	0.037106447	NA	NA	NA	NA	0.367371066	5.494095545	5.116863758	2.974529312	1	0	0.9844	9.00E-04	0.09303	0.9627	0.88203	0.00447	0	NA	NA	NA	NA	-1.378757484	-1.196768007	0.654730213	0.308632891	0.175625749	0.824374251	0
ACH-000932	Gastric Cancer	MSI-high	MSI-H	inferred-MSI	2031	456	0.123092073	0.586410635	0.031511571	0.029049729	0.187592319	0.042343673	NA	NA	NA	NA	3.455491621	5.510961919	5.360715425	3.66106548	1	0	0.99065	0.00607	0.93252	0.96544	0.00463	0	0	0.132192875	-0.278275423	-1.878593516	0.081027888	7.72E-05	-0.126544213	0.668593331	0.507571855	0.699022798	0.300977202	0
ACH-000933	Pancreatic Cancer	MSI	NA	inferred-MSI	1536	313	0.135416667	0.548828125	0.037760417	0.026041667	0.205729167	0.046223958	Missense_Mutation	Missense_Mutation	NA	NA	5.00495076	3.614709844	4.071247819	3.502075956	1	0.00084	0.93111	0.00053	0.01922	0.42249	0.00207	0.00383	0	NA	NA	NA	NA	0.691905106	-0.374388944	-0.890008733	-0.544401056	0.662503576	0.337496424	0
ACH-000936	Ovarian Cancer	MSI-high	MSI-H	inferred-MSI	1736	339	0.108870968	0.680299539	0.025345622	0.02764977	0.1359447	0.021889401	NA	NA	NA	NA	4.786073552	4.015247774	3.757023247	3.468583317	1	0.00716	0.94119	0.01525	0.94127	0.95556	0.00705	0.00599	0	NA	NA	NA	NA	0.594177222	-0.426599768	-0.560791298	-0.800751612	0.814659458	0.185340542	0
ACH-000938	Leukemia	MSI-high	MSI-H	inferred-MSI	2330	136	0.067811159	0.799141631	0.013733906	0.013733906	0.09055794	0.015021459	NA	NA	NA	NA	5.682011391	3.234194723	6.688600011	3.882643049	NA	0	0.8571	0.09388	0.9	0.90477	0.01317	0.00904	NA	-2.075701319	-0.413763834	-0.418363146	-2.457501096	0.994210233	0.218867432	-1.202768656	1.590886089	0.914549726	0.085450274	0
ACH-000897	Thyroid Cancer	MSI	NA	inferred-MSI	1200	54	0.1475	0.475833333	0.0325	0.03	0.281666667	0.0325	NA	NA	Frame_Shift_Ins;Frame_Shift_Del	NA	4.94204526	5.225737653	2.232660757	3.401903472	NA	0	1	0.02802	0.94899	0.96429	0.10059	0	0	NA	NA	NA	NA	0.663818027	-0.530545285	0.434156604	-2.044356366	0.562395222	0.437604778	1
ACH-000940	Endometrial/Uterine Cancer	MSI-high	MSI-H	inferred-MSI	2796	508	0.107653791	0.45565093	0.02360515	0.028612303	0.360515021	0.023962804	NA	NA	NA	NA	0.333423734	5.133810091	4.372255648	4.648465443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.393914845	1.412688509	0.358597827	-0.298832978	0.449922219	0.550077781	0
ACH-000941	Endometrial/Uterine Cancer	MSI	NA	inferred-MSI	2574	75	0.15967366	0.633644134	0.012043512	0.01981352	0.154623155	0.02020202	NA	NA	NA	Nonsense_Mutation	5.39609097	5.031218731	3.15704371	3.942983598	1	0.00255	0.93846	0.02295	0.9726	0.97944	0	0.00094	0	NA	NA	NA	NA	0.866547797	0.312930781	0.274274066	-1.290226661	0.799782163	0.200217837	0
ACH-000942	Leukemia	MSI	NA	inferred-MSI	2008	78	0.067729084	0.609561753	0.022908367	0.02440239	0.261952191	0.013446215	Nonsense_Mutation	NA	NA	NA	3.264536431	4.399854674	2.253989266	3.85698569	NA	0	0.96553	0.07281	0.98028	0.96836	0.02041	0.00238	NA	NA	NA	NA	NA	-0.085183609	0.178870825	-0.244668186	-2.026956151	0.654262434	0.345737566	0
ACH-000943	Colon/Colorectal Cancer	MSI-high	MSI-H	inferred-MSI	3805	692	0.145072273	0.479894875	0.034428384	0.042312746	0.269382392	0.02890933	Missense_Mutation	NA	Frame_Shift_Del	NA	0.201633861	4.672990994	3.804260116	2.482848283	1	0.01964	1	0.02179	0.7744	0.98678	0.2825	0.0026	0	0.324099375	-1.082294666	-1.530380722	0.083486056	-1.452758548	-1.963237075	-0.020167004	-0.76221485	0.552181075	0.447818925	Double
ACH-000946	Endometrial/Uterine Cancer	MSI	NA	inferred-MSI	2345	450	0.112153518	0.462686567	0.030277186	0.039232409	0.339445629	0.016204691	Frame_Shift_Del	NA	Frame_Shift_Ins	NA	0.443606651	5.264161071	4.731183242	3.641546029	1	0.00201	0.97298	0.0065	0.97805	0.98594	0.91366	0	NA	-0.618453458	-2.044743217	-1.468072137	-0.81799116	-1.34471857	-0.156972589	0.46573828	-0.006012822	0.477895629	0.522104371	Double
ACH-000947	Ovarian Cancer	MSI-high	MSI-H	inferred-MSI	2102	396	0.153663178	0.506184586	0.035680304	0.026641294	0.246907707	0.030922931	NA	NA	NA	NA	0.411426246	4.645009884	5.460742564	4.272769732	1	0	0.9621	0.00207	0.07535	0.24926	0.82642	0	NA	NA	NA	NA	NA	-1.359087005	0.827026009	-0.043165747	0.589175952	0.601450122	0.398549878	0
ACH-000948	Gastric Cancer	MSI-high	MSI-H	inferred-MSI	2485	561	0.134808853	0.587927565	0.018913481	0.030583501	0.190744467	0.037022133	NA	NA	NA	NA	0.275007048	4.073820233	3.680324357	4.075532631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.419997685	0.519558101	-0.512648355	-0.863324068	0.7010159	0.2989841	0
ACH-000949	Gastric Cancer	MSS	MSI-H	inferred-MSI	1848	460	0.134199134	0.609848485	0.038961039	0.038961039	0.147186147	0.030844156	NA	NA	NA	NA	1.163498732	4.989139007	4.790772038	4.213347282	1	0.00883	0.21601	0.02468	0.96	0.60055	0.79846	0.00091	0	NA	NA	NA	NA	-1.023289355	0.73439386	0.239687133	0.042600884	0.759934831	0.240065169	0
ACH-000950	Colon/Colorectal Cancer	MSI-high	MSI-H	inferred-MSI	2535	565	0.117554241	0.639842209	0.025246548	0.018145957	0.172386588	0.026824458	NA	NA	NA	NA	5.223036338	4.015247774	5.067380578	4.021479727	1	0.00571	0.5647	0.03343	0.97308	0.84121	0	0.00568	NA	NA	NA	NA	NA	0.789279529	0.435296403	-0.560791298	0.268263545	0.767388218	0.232611782	0
ACH-000952	Prostate Cancer	MSI	NA	inferred-MSI	1640	332	0.05304878	0.629268293	0.026219512	0.02195122	0.241463415	0.02804878	NA	NA	NA	NA	5.56315813	0.464668267	5.194559886	4.489286023	NA	0	0.78508	0.07503	0.93118	0.8759	0.04586	0.0425	0	NA	NA	NA	NA	0.941142681	1.164547754	-3.479148314	0.372018914	0.678230479	0.321769521	0
ACH-001203	Lymphoma	MSI-low	MSS/MSI-L	inferred-MSI	2072	109	0.079150579	0.66023166	0.031370656	0.073359073	0.122586873	0.033301158	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.668002693	0.331997307	1
ACH-000954	Endometrial/Uterine Cancer	MSI	NA	inferred-MSI	4821	299	0.180875337	0.681186476	0.016386642	0.017838623	0.093756482	0.009956441	NA	NA	Frame_Shift_Del	Nonsense_Mutation	5.762614579	5.841721581	4.300123725	3.694880193	1	0.00279	0.98922	0.02325	0.993	0.94722	0	0	NA	-1.265487165	-3.225008023	0.099951219	-0.484334422	1.030199265	-0.073831316	0.94045734	-0.357679613	0.902318638	0.097681362	Double
ACH-001091	Colon/Colorectal Cancer	MSI	NA	inferred-MSI	783	15	0.291187739	0.453384419	0.007662835	0.034482759	0.169859515	0.043422733	Missense_Mutation	Missense_Mutation	Frame_Shift_Del	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.670261986	0.329738014	1
ACH-000956	Prostate Cancer	MSI-high	MSI-H	inferred-MSI	2331	607	0.087945088	0.685971686	0.018447018	0.023595024	0.162591163	0.021450021	NA	NA	NA	NA	6.113950482	5.118941073	5.23227701	4.399171094	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.187069478	1.02406988	0.346376412	0.402789282	0.789073667	0.210926333	0
ACH-000957	Colon/Colorectal Cancer	MSI-high	MSI-H	inferred-MSI	2351	587	0.12079966	0.502764781	0.028498511	0.03275202	0.236069758	0.07911527	Missense_Mutation	NA	NA	NA	4.674121633	4.802193217	3.888499736	3.340562269	1	0.00615	0.03026	0.02251	0.98045	0.56207	0.0194	0.0016	NA	-1.112871827	-1.942631498	-2.465236698	-1.053662769	0.544191095	-0.626168528	0.086029242	-0.693490519	0.582315755	0.417684245	0
ACH-000958	Colon/Colorectal Cancer	MSI-high	MSI-H	inferred-MSI	3170	561	0.113880126	0.678864353	0.018927445	0.024290221	0.140063091	0.023974763	NA	NA	NA	NA	0.632268216	5.778734244	4.663913842	4.676944359	1	0.0016	0.8854	0.00967	0.48885	0.93135	0.94206	0.00386	NA	-0.076830804	NA	0.016179792	0.237200512	-1.260481863	1.457083568	0.88868564	-0.060892515	0.79392664	0.20607336	0
ACH-000959	Colon/Colorectal Cancer	MSI	NA	inferred-MSI	2284	566	0.149299475	0.571366025	0.019702277	0.021015762	0.202714536	0.035901926	NA	NA	Missense_Mutation;Frame_Shift_Del	Nonsense_Mutation	4.038260575	5.256255873	4.51412226	3.195347598	1	0.00213	0.6944	0.01554	0.94585	0.92942	0.07041	0.00146	0	NA	NA	NA	NA	0.260281428	-0.85253999	0.459240696	-0.183095419	0.692200158	0.307799842	Double
ACH-000960	Leukemia	MSI-high	MSI-H	inferred-MSI	2624	139	0.054496951	0.795731707	0.036585366	0.019435976	0.07660061	0.01714939	NA	NA	NA	Missense_Mutation	3.791814071	6.184875343	7.605923926	3.857980995	1	0	0.95402	0.00445	0.52568	0.7098	0	0.00086	NA	1.120955681	-2.22827022	-2.240940267	1.275578187	0.150243954	0.180422382	1.222508534	2.339256892	0.918672261	0.081327739	0
ACH-000961	Endometrial/Uterine Cancer	MSI	NA	inferred-MSI	3052	541	0.117300131	0.406946265	0.035386632	0.04095675	0.356815203	0.04259502	NA	NA	Missense_Mutation	Missense_Mutation	3.582556003	4.848497755	4.10433666	3.962549023	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.226511634	-1.395936653	-1.866639487	-0.923253162	0.056810982	0.343430824	0.124088712	-0.517406532	0.414759654	0.585240346	0
ACH-000962	Ovarian Cancer	MSI-high	MSI-H	inferred-MSI	2962	449	0.118501013	0.629642134	0.018568535	0.016205267	0.195813639	0.021269413	NA	In_Frame_Del;Missense_Mutation	NA	NA	5.408032466	5.376776572	5.06995989	3.618238656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.871879632	-0.193305862	0.558301265	0.270367799	0.741448406	0.258551594	0
ACH-000963	Colon/Colorectal Cancer	MSI-high	MSI-H	inferred-MSI	3459	664	0.089332177	0.477016479	0.021682567	0.021104365	0.355305001	0.03555941	Missense_Mutation	Missense_Mutation	NA	NA	4.46662712	5.783718558	5.357200085	3.889473543	1	0	0.08965	0.02283	0.5886	0.6885	0.04014	0	0	0.664809323	-1.152979369	-1.499146614	0.602339975	0.451545544	0.229515314	0.892782438	0.504703971	0.483356286	0.516643714	0
ACH-000964	Leukemia	MSI	NA	inferred-MSI	2154	150	0.2181987	0.590064995	0.048746518	0.014391829	0.112349118	0.016248839	NA	NA	Missense_Mutation	NA	5.981852653	5.989139007	5.880685525	2.280956314	1	0	1	0.02683	0.9333	0.9957	0	0	NA	NA	NA	NA	NA	1.128088274	-2.277961337	1.061625358	0.931773639	0.82341041	0.17658959	0
ACH-002256	Leukemia	NA	MSS/MSI-L	inferred-MSI	7827	83	0.103615689	0.605979302	0.015714833	0.030918615	0.230228696	0.013542864	NA	Missense_Mutation	Nonsense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.671698301	0.328301699	1
ACH-000966	Ovarian Cancer	MSI-high	MSI-H	inferred-MSI	3498	593	0.128073185	0.567181246	0.019153802	0.02544311	0.230989137	0.02915952	Missense_Mutation;Frame_Shift_Del	NA	NA	NA	2.22650853	4.979110755	2.655351829	3.683696454	NA	0	0.96915	0.01403	0.92118	0.93155	0	0	NA	-2.974970749	-3.18823063	-2.482326291	-1.765918177	-0.548659319	-0.091265362	0.231444529	-1.699516717	0.653525153	0.346474847	0
ACH-000972	Endometrial/Uterine Cancer	MSI	NA	inferred-MSI	3125	899	0.11744	0.5936	0.02272	0.02336	0.21504	0.02784	Missense_Mutation	NA	Missense_Mutation;Frame_Shift_Ins	NA	3.455491621	4.903520374	4.162693432	3.231125158	NA	0	0.98782	0.00694	0.86488	0.99212	0	0.00081	NA	NA	NA	NA	NA	7.72E-05	-0.796767261	0.169313905	-0.469797935	0.689766922	0.310233078	1
ACH-000969	Colon/Colorectal Cancer	MSI-high	MSI-H	inferred-MSI	4089	558	0.088530203	0.730985571	0.015896307	0.016140866	0.125947664	0.022499389	NA	Missense_Mutation	Frame_Shift_Ins	NA	0.150559677	4.22650853	2.538538164	3.439623138	NA	0.00068	0.58672	0.02652	1	0.58672	NA	0	NA	NA	NA	NA	NA	-1.475562987	-0.471745056	-0.387148008	-1.794815591	0.801784804	0.198215196	Double
ACH-000970	Colon/Colorectal Cancer	MSI-high	MSI-H	inferred-MSI	3286	527	0.109251369	0.408094948	0.031649422	0.067255021	0.336275107	0.047474133	NA	NA	NA	Missense_Mutation	0.918386234	5.113117036	4.956056652	3.967168608	1	0.00435	0.29327	0.00944	0.9575	0.72527	0.92632	0.00568	0	-0.164986472	-1.24418613	-0.909049906	-0.043932417	-1.132731201	0.350632177	0.341589414	0.177443308	0.394393266	0.605606734	0
ACH-000971	Colon/Colorectal Cancer	MSI-high	MSI-H	inferred-MSI	3527	745	0.114261412	0.588318684	0.033456195	0.024099802	0.211511199	0.028352708	Nonsense_Mutation	NA	NA	NA	2.752748591	5.862203399	5.418527302	4.206330648	0.9286	0.0113	0.9873	0.0246	0.95252	0.96931	0	0.00144	NA	-0.191934671	-1.04778638	-1.584929404	-0.316491524	-0.313695031	0.723455807	0.957292129	0.554735915	0.682692591	0.317307409	0
ACH-000997	Colon/Colorectal Cancer	MSI-high	MSI-H	inferred-MSI	10327	196	0.297763145	0.459475162	0.016752203	0.035344243	0.154933669	0.035731577	Missense_Mutation	NA	Frame_Shift_Del;In_Frame_Del;Missense_Mutation	NA	5.659924558	6.391630262	2.780310099	3.730096466	1	0	0.98148	0.01724	0.91604	0.9672	0	0.0063	NA	-1.994425846	0.100634515	-0.428574992	-1.763118146	0.984348542	-0.018933563	1.392448305	-1.597573314	0.701141154	0.298858846	1
ACH-000973	Bladder Cancer	MSS	MSS/MSI-L	inferred-MSI	2828	77	0.087340877	0.729137199	0.020862801	0.039250354	0.102899576	0.020509194	Nonsense_Mutation	Missense_Mutation	NA	NA	5.453846774	6.09085343	3.089159132	3.56315813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.892335555	-0.279169494	1.14522833	-1.345608229	0.847545936	0.152454064	0
ACH-000955	Colon/Colorectal Cancer	MSI-high	MSI-H	inferred-MSI	3031	541	0.126360937	0.61860772	0.023094688	0.019135599	0.18673705	0.026064005	NA	Nonsense_Mutation	NA	NA	4.694880193	2.639232163	5.111865964	3.196921734	NA	0.00736	0.15774	0.01722	0.69695	0.66782	0.01624	0.00369	0	NA	NA	NA	NA	0.553459717	-0.85008611	-1.691791126	0.304555593	0.742835903	0.257164097	1
ACH-000977	Prostate Cancer	MSI-high	MSI-H	inferred-MSI	5239	401	0.255201374	0.425653751	0.013361328	0.060316854	0.229051346	0.016415346	Missense_Mutation	NA	NA	NA	5.299391206	2.538538164	4.115199749	4.559491813	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.071671343	1.277397633	0.457110436	-2.578227336	0.823371702	1.273989778	-1.774555373	-0.508544211	0.5541206	0.4458794	0
ACH-000978	Endometrial/Uterine Cancer	MSI-low	MSS/MSI-L	inferred-MSI	6166	1412	0.089523192	0.143204671	0.021569899	0.054330198	0.662990594	0.028381447	NA	NA	Missense_Mutation	Nonsense_Mutation	5.078524445	5.474111514	4.158660175	2.565597176	NA	0.00939	0.97437	0.03242	0.95615	0.98212	0.04146	0	NA	NA	NA	NA	NA	0.72475549	-1.834241927	0.638304574	-0.473088345	0.03964192	0.96035808	0
ACH-000979	Prostate Cancer	MSI-high	MSI-H	inferred-MSI	4037	282	0.364627198	0.410453307	0.056229874	0.061184048	0.085707208	0.021798365	Missense_Mutation	Missense_Mutation	Missense_Mutation	Missense_Mutation	4.225737653	5.90014226	5.817367438	3.84899843	1	0.02111	0.99435	0.03594	0.98011	0.97016	0	0.00286	0.2857	-0.753474768	-1.820499405	-2.893766895	-0.831707336	0.343989267	0.16641969	0.98847553	0.880117504	0.768936904	0.231063096	0
ACH-001333	Cervical Cancer	MSI-high	MSI-H	inferred-MSI	2348	476	0.081345826	0.658858603	0.022146508	0.018739353	0.20229983	0.016609881	NA	Frame_Shift_Del;Missense_Mutation;Nonsense_Mutation	NA	NA	5.255878353	4.577730931	5.874796966	4.305970521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.80394337	0.878781875	-0.09846489	0.926969637	0.744127469	0.255872531	1
